title,price,rating
"Samsung Galaxy A03 Core, 6.5"" 32GB + 2G, 5000mAh,Dual Sim- (Black) Onyx","KSh 11,692",3.9 out of 5
"XIAOMI Redmi A1+, 6.52"", 2GB+32GB, 8.0MP, 5000mAh, 4G , Dual SIM - Light Green","KSh 10,699",0 out of 5
"Nokia 106, 1.8"" Display [4MB RAM + 4MB ROM],, (Dual Sim) - Black","KSh 1,649",0 out of 5
"Itel A16 Plus, 5.0'', 1 GB + 8 GB, (Dual SIM), 2050 MAh - Phantom Black","KSh 4,789",4.4 out of 5
"Tecno POVA NEO,6.8'',GB RAM+64GB ROM,6000MAH,4G ,Dual SIM -Blue","KSh 14,499",5 out of 5
"Tecno Pop 6 6.1"", 2GB RAM+32GB, 5MP, 4G (Dual Sim) 5000MAh-BLUE","KSh 8,949",4 out of 5
"Itel 2160, 1.8"", 32MB + 32MB (Dual SIM),1000mAh - Black","KSh 1,357",3 out of 5
Not found,error,error
"Samsung Galaxy A23, 6.6″, 64GB + 4GB RAM (Dual SIM), 5000mAh, Black","KSh 22,463",4.3 out of 5
"XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Chrome Silver","KSh 12,999",4.5 out of 5
"Huawei Psmart 2019 6.2"" 2340X1080FHD+ 4+128 GB 24mp+16mp +2mp Rear Three Camera","KSh 12,990",5 out of 5
Samsung Galaxy A03s – 6.5″ – 32GB + 3GB – Dual SIM - Black,"KSh 13,679",4.4 out of 5
Oppo A83 4GB+64GB RAM - 4G LTE Dual SIM - 5.7-inch Display - Face Unlock-(Red),"KSh 7,200",0 out of 5
"Itel 2163, 1.8"", 32MB + 32MB (Dual SIM), 1000mAh, Black","KSh 1,357",4.3 out of 5
"Samsung Galaxy A03, 6.5"", 64GB + 4GB RAM (Dual SIM), 5000mAh, Blue","KSh 15,263",4.1 out of 5
"XIAOMI Redmi 10A, 6.53"", 3GB+64GB, 13.0MP, 5000mAh, 4G LTE, Dual SIM - Sky Blue","KSh 12,999",4.6 out of 5
"Samsung Galaxy M32, 6.4"", 128GB + 6GB RAM (Dual SIM), 6000mAh, Black","KSh 23,250",4.4 out of 5
"Itel A33 Plus,,5.0"" Screen Display(16GB+1GB),Fingerprint,(Dual Sim) Blue,,w.s""","KSh 6,340",4.3 out of 5
"Infinix Smart 6, 6.6"", 2GB RAM, 32GB, Android 10, XOS 7.6, 5000mAh, 3G - Ocean Wave","KSh 9,995",0 out of 5
"Samsung Galaxy A03 6.5"" 3GB RAM+32GB ROM 48 MP //Dual SIM-Blue+FREE EARBUDS+C+W","KSh 13,899",4.4 out of 5
"Samsung Galaxy A13, 6.6"", 128GB + 4GB (Dual SIM), Blue + Smart Watch & Power Bank","KSh 22,887",4.3 out of 5
"Nokia 105 Africa Edition - 1.77"" - Wireless FM Radio -  800mAh - Black","KSh 1,842",5 out of 5
Vivo Y21 - 6.51'' - 4GB RAM + 64GB ROM - Dual SIM - 5000mAh - Diamond Glow,"KSh 15,999",4.5 out of 5
Not found,error,error
"Infinix Hot 12i, 6.6"", 64GB + 2GB RAM (UP TO 4GB) Dual SIM, 5000mAh, 4G - Champagne Gold","KSh 13,599",5 out of 5
